Week,Date,Day,Activity Type,Race Type,Details,Focus,Planned Duration,Planned Distance
1,2026-01-04,Sunday,Run,,10km Easy (9:00 pace),Endurance Base,54,10
2,2026-01-05,Monday,Rest/Mobility,,Foot Rehab (Towel curls/Tibialis raises),Recovery,20,0
2,2026-01-06,Tuesday,Run,,6km Easy (8:45 pace),Cadence 180 spm,52,6
2,2026-01-07,Wednesday,Strength/Spin,,30m Spin + Squats/Lunges/Pushups,Ankle Stability,45,0
2,2026-01-08,Thursday,Run,,8km Easy (8:40 pace),Z2 Efficiency,70,8
2,2026-01-09,Friday,Mobility/Rehab,,Calf holds and ankle flexibility,Injury Prevention,25,0
2,2026-01-10,Saturday,Cycle (Ride 1),,50km Outdoor (Mountain/Rolling),Climbing Base,120,50
2,2026-01-11,Sunday,Run,,12km Very Easy (9:15 pace),Time on Feet,111,12
3,2026-01-12,Monday,Rest/Mobility,,10 min Foot Rehab,Recovery,10,0
3,2026-01-13,Tuesday,Run,,6km (Include 4x400m strides),Speed Play,50,6
3,2026-01-14,Wednesday,Strength/Spin,,45m Spin + Single-leg balance,Structural Power,45,0
3,2026-01-15,Thursday,Run,,10km Steady (8:30 pace),Marathon Pace Intro,85,10
3,2026-01-16,Friday,Mobility/Rehab,,Tibialis Raises and Foam Rolling,Maintenance,25,0
3,2026-01-17,Saturday,Cycle (Ride 2),,50km Outdoor (Steep/Climbing),Power Endurance,125,50
3,2026-01-18,Sunday,Run,,14km Slow (9:15 pace),Barefoot Conditioning,130,14
4,2026-01-19,Monday,Rest/Mobility,,10 min Foot Rehab,Recovery,10,0
4,2026-01-20,Tuesday,Run,,5km Very Easy,Taper for Race 1,45,5
4,2026-01-21,Wednesday,Strength/Spin,,30m Spin + Light Bodyweight,Mobility,35,0
4,2026-01-22,Thursday,Run,,6km (Include 2km at 10k Goal Pace),Race Feel,50,6
4,2026-01-23,Friday,Rest,,Full Rest Day,Pre-Race Readiness,0,0
4,2026-01-24,Saturday,Cycle (Ride 3),,50km Outdoor (Flat/Rolling),Steady Z2,115,50
4,2026-01-25,Sunday,Run (Race 1),B,10k Race #1 (B-Race),Effort Check,48,10
5,2026-01-26,Monday,Rest/Mobility,,Post-Race Mobility / Massage,Inflammation Control,20,0
5,2026-01-27,Tuesday,Run,,5km Very Easy (9:15 pace),Active Recovery,46,5
5,2026-01-28,Wednesday,Spin,,30m Spin (High Cadence/Low Watts),Flush Legs,30,0
5,2026-01-29,Thursday,Run,,4km (Include 4x200m light strides),Leg Snap,35,4
5,2026-01-30,Friday,Mobility,,Light stretching and Hydration,Taper,20,0
5,2026-01-31,Saturday,Cycle (Ride 4),,50km Outdoor (Very Steady),Goal: 4/4 Rides Done,110,50
5,2026-02-01,Sunday,Run (Race 2),A,10k Race #2 (Performance Test),Peak 10k Effort,45,10
