Week,Date,Day,Activity Type,Race Type,Details,Focus,Planned Duration,Planned Distance
10,2026-03-03,Tuesday,WeightTraining,N/A,"Split Squats; Weighted Calf Raises; Hip Lifts","Lower Body Strength",45,0
10,2026-03-04,Wednesday,Run,N/A,"5km Z2 Run + Ankle Lean Pose Drills","Efficiency/HR Control",45,5km
10,2026-03-05,Thursday,VirtualRide,N/A,"50km Steady Ride (Aerobic Endurance)","Cycling Volume",130,50km
10,2026-03-06,Friday,Workout,N/A,"Full Body Mobility; Core; Foot Strength","Recovery/Stability",30,0
10,2026-03-07,Saturday,Run,N/A,"8km Aerobic Run (HR < 145 bpm)","Base Building",65,8km
11,2026-03-08,Sunday,Run,N/A,"12km Long Run (Focus on 170+ Cadence)","Volume",90,12km
11,2026-03-09,Monday,Rest,N/A,"Full Recovery Day","Metabolic Reset",0,0
11,2026-03-10,Tuesday,WeightTraining,N/A,"Deadlifts; Bulgarian Split Squats; Core","Power/Chassis",50,0
11,2026-03-11,Wednesday,Run,N/A,"6km Total: Incl. 3 x 800m @ 5:30 Pace","Neural Speed",45,6km
11,2026-03-12,Thursday,VirtualRide,N/A,"50km Steady Ride (Aerobic Endurance)","Cycling Volume",130,50km
11,2026-03-13,Friday,Run,N/A,"4km Very Easy Recovery Run (9:00 pace)","Blood Flow",35,4km
11,2026-03-14,Saturday,Run,N/A,"10km Steady Z2 (HR < 145 bpm)","Aerobic Density",75,10km
12,2026-03-15,Sunday,Run,N/A,"15km Progressive (Last 3km @ 6:00 pace)","Endurance",110,15km
12,2026-03-16,Monday,Rest,N/A,"Full Recovery Day","Rest",0,0
